B,H,TLen,D,DV,BT,BK,BV,stage,thread_num,latency,ref_latency,TFlops
1,8,512,64,64,64,128,32,3,256,0.029182400554418564,,1.149817402356211
1,8,512,128,128,64,64,32,2,128,0.0314335972070694,,4.269881271171043
1,8,512,128,64,64,128,32,3,128,0.029763197526335716,,2.254759890654198
1,8,512,256,256,64,128,32,1,256,0.027116799727082253,,19.79846137462206
1,8,16384,64,64,64,64,32,2,128,0.2437504082918167,,4.405087283851939
1,8,16384,128,128,64,64,32,2,128,0.2561599910259247,,16.76673737689711
1,8,16384,128,64,64,64,32,2,128,0.2422143965959549,,8.86604462071791
1,8,16384,256,256,64,64,32,2,128,0.31074079871177673,,55.28681542694671
1,64,512,64,64,64,128,32,3,256,0.037943996489048004,,7.074517205310202
1,64,512,128,128,64,128,32,1,128,0.04012160003185272,,26.76218852557105
1,64,512,128,64,64,128,128,3,256,0.03708159923553467,,14.478094879077538
1,64,512,256,256,64,64,64,2,128,0.0683583915233612,,62.83013980123
1,64,16384,64,64,64,64,32,2,128,0.278217613697052,,30.87487696358967
1,64,16384,128,128,64,64,128,2,128,0.5969120264053345,,57.56248299254059
1,64,16384,128,64,64,64,64,3,128,0.37802717089653015,,45.44612267752125
1,64,16384,256,256,64,64,64,2,128,2.0383360385894775,,67.42703404641138
16,8,512,64,64,64,128,32,3,128,0.040031999349594116,,13.411044182719376
16,8,512,128,128,64,128,32,2,256,0.04540959745645523,,47.291404643242956
16,8,512,128,64,64,128,128,3,256,0.03943520039319992,,27.228004759553667
16,8,512,256,256,64,64,64,2,128,0.13038399815559387,,65.88181612400928
16,8,16384,64,64,64,64,64,3,128,0.40439194440841675,,42.48321318351769
16,8,16384,128,128,64,128,32,2,128,1.172164797782898,,58.6261222534409
16,8,16384,128,64,64,128,64,2,256,0.6860448122024536,,50.0838104987526
16,8,16384,256,256,64,128,32,2,128,4.0581183433532715,,67.73531072454263
16,64,512,64,64,64,64,32,1,128,0.0991344004869461,,43.32469127672342
16,64,512,128,128,64,64,64,2,128,0.2936991751194,,58.494781869971966
16,64,512,128,64,64,128,32,2,128,0.17080160975456238,,50.29188310545504
16,64,512,256,256,64,64,64,2,128,0.9790895581245422,,70.18712043833149
16,64,16384,64,64,64,64,32,1,128,2.9881343841552734,,45.99490377701106
16,64,16384,128,128,64,128,128,1,256,9.502837181091309,,57.85175557694507
16,64,16384,128,64,64,128,128,2,256,5.418295860290527,,50.731431806542425
